"guid";"company_name";"entity_type";"std";"phone";"street";"city";"region";"country";"email"
"64EE9717-9959-28EA-B4F4-B465D95959F5";"LEO";"CONSULTING";"";"972-1168";"3265 Augue, Ave";"Niort";"PO";"Cyprus";"mollis.non@eudoloregestas.net"
"C96DA6B1-6DF9-2962-CFC5-C40A846BE711";"DIAM SED";"LIMITED";"LLC";"1-872-474-7799";"5083 Accumsan Avenue";"Dublin";"L";"Monaco";"lobortis.nisi.nibh@sit.com"
"B62B9BF9-DFE4-F49D-FB87-8F7F31C3FE10";"DICTUM SAPIEN AENEAN";"LLC";"LLC";"775-7709";"Ap #705-6839 Vulputate St.";"Gaasbeek";"Vlaams-Brabant";"Faroe Islands";"a.mi.fringilla@fringillaornareplacerat.org"
"1DED693E-E026-360E-2335-476DCCA4FB96";"ORCI";"CORPORATION";"CO";"1-532-479-8709";"P.O. Box 782, 6654 Quisque Ave";"Guwahati";"AS";"Comoros";"morbi.tristique@risusDonec.co.uk"
"2FCFAEF5-AEF2-EDC9-99F0-86D8964F01AD";"DOLOR FUSCE";"LLP";"LLC";"(642) 177-9965";"670-6949 Ut Ave";"Ribeirão Preto";"SP";"Åland Islands";"natoque.penatibus@vestibulumneceuismod.org"
"2F25B23E-D03F-BD15-F125-AA6AABA2F4A6";"SUSPENDISSE NON LEO";"INSTITUTE";"INC";"398-7319";"Ap #345-1032 Neque Ave";"Chesterfield";"DB";"Zambia";"neque.sed@posuerecubilia.co.uk"
"58A657D7-2F9C-4DCB-E21A-D3D51E591002";"ACCUMSAN LAOREET";"INSTITUTE";"INC";"1-312-747-9187";"770-8912 Dictum Avenue";"Saint-Marc";"Namen";"Bangladesh";"molestie.dapibus@Nuncsollicitudincommodo.com"
"1297028F-C070-B4B1-1392-56559B9CC030";"UT ODIO VEL";"PC";"";"645-9430";"Ap #758-771 Placerat Av.";"Mielec";"Podkarpackie";"Korea, North";"ipsum@quamdignissim.net"
"B786BF3A-FA5F-F0DA-574C-38B1C711115A";"ID";"FOUNDATION";"";"697-5114";"852-1025 Ultricies Road";"Labro";"Lazio";"Brunei";"dis@Curae.com"
"3B037511-6B7B-16C4-0CEC-3F47F1511C01";"NIBH DONEC EST";"CONSULTING";"";"1-905-542-7694";"4581 Sagittis Rd.";"Berlin";"Berlin";"Micronesia";"egestas.blandit@tinciduntnuncac.co.uk"
"9F1E2B13-18B0-C9FD-93F0-BFD460349E7F";"DONEC";"LLC";"LLC";"602-1123";"Ap #761-2966 A Rd.";"Lagos";"LA";"Namibia";"Nunc.commodo.auctor@felis.ca"
"7F5A1159-3AA9-78D3-604F-F586DAEAB9A1";"MAURIS";"FOUNDATION";"";"1-356-454-5081";"P.O. Box 411, 4810 A Rd.";"Aguacaliente (San Francisco)";"C";"Denmark";"eros@montesnasceturridiculus.net"
"B05D20A8-D081-F3AD-A06B-738C5EF137CC";"A MI";"FOUNDATION";"";"(391) 713-3950";"P.O. Box 467, 408 Morbi Rd.";"Pugwash";"Nova Scotia";"Thailand";"eros.Proin@risus.ca"
"1AE06990-5E01-9009-2087-4116003BEC7B";"UT TINCIDUNT";"FOUNDATION";"";"1486344";"1204 Arcu Avenue";"Af?in";"Kahramanmara?";"Yemen";"lacus@metusfacilisislorem.co.uk"
"1BAFAB0A-9D13-0ECA-FF48-326208EAB725";"ET MAGNIS";"LLC";"LLC";"878-9220";"Ap #401-5338 Velit Ave";"Galway";"C";"United States";"a@nisl.org"
"C96C0305-26F0-B160-5D76-0688AD25736A";"DIGNISSIM LACUS";"INC.";"INC";"735-2638";"Ap #704-3384 Cum St.";"South Perth";"Western Australia";"Greenland";"vulputate@sagittis.net"
"007D68E8-C49B-1757-E269-BED8226E1B3C";"CUBILIACURAE DONEC PC";"1-734-726-9607";"P.O. Box 500, 3332 Massa Street";"Berlin";"Berlin";"El Salvador";"";"";""
"D051F112-A6A3-9528-1A79-A632B98B7B1F";"PRIMIS IN FAUCIBUS";"INCORPORATED";"INC";"1-918-822-1128";"P.O. Box 143, 5622 Sem, St.";"Dublin";"Leinster";"United Kingdom (Great Britain)";"odio.vel.est@dolorvitaedolor.edu"
"C56CEDBC-13EE-004E-F4CF-F9206C479EBA";"ENIM";"INC.";"INC";"1-318-532-0718";"8031 Eget, Rd.";"Gisborne";"North Island";"Cambodia";"eget.nisi.dictum@nequepellentesquemassa.net"
"13645C43-39B6-0150-D195-6055AF331E7F";"ENIM CONDIMENTUM";"LTD";"LLC";"1-759-604-7152";"Ap #769-964 Pede, Street";"Vienna";"Wie";"Turkey";"eu.lacus.Quisque@Fuscealiquamenim.co.uk"
"71701AEC-DA8A-6242-7D98-951D08B9E84F";"ALIQUAM";"INDUSTRIES";"INC";"1-547-382-5107";"P.O. Box 545, 9022 Dictum. Rd.";"Zierikzee";"Zl";"Papua New Guinea";"eu.turpis.Nulla@auctor.org"
"2909F7E8-C102-4331-1A30-3B9947C58B54";"AMET LUCTUS VULPUTATE";"COMPANY";"CO";"1-869-988-2848";"567-4545 Duis St.";"Elx";"Comunitat Valenciana";"Bouvet Island";"et.euismod.et@nunc.co.uk"
"84CA4F84-0B41-2E79-7F6C-1C4D0475EAA2";"FACILISI";"CORPORATION";"CO";"1-714-720-0552";"4017 Neque Road";"Chicoutimi";"QC";"Senegal";"aliquam.eros.turpis@semperduilectus.co.uk"
"D614567F-295D-9BB7-AE46-D52CFDE1426E";"TORTOR INTEGER";"INSTITUTE";"INC";"1-308-540-3841";"Ap #668-1389 Et Ave";"Uluberia";"West Bengal";"Uzbekistan";"et.netus.et@convallisestvitae.net"
"8A3718A1-A004-C599-7BDA-B5BA7772EF7E";"IMPERDIET ORNARE";"INDUSTRIES";"INC";"1-648-588-0374";"416-9642 Vel Ave";"Dudley";"WO";"Iceland";"ipsum.non@duiSuspendisse.net"
"1957E4B4-1A77-B400-0D5A-A78D4DCA96C5";"PEDE";"CONSULTING";"";"552-6096";"234-9541 Erat Road";"Zierikzee";"Zeeland";"United Kingdom (Great Britain)";"quam.vel.sapien@in.net"
"20427462-D5E0-52B5-6756-533F2D60EBC0";"LAOREET";"INC.";"INC";"771-7282";"6652 Pellentesque St.";"Cork";"M";"Burkina Faso";"neque@gravidanunc.org"
"E1E8E5A6-B6F3-F237-AB2F-DD5F9EE89B37";"LOREM FRINGILLA";"PC";"";"(993) 270-2184";"333 Proin Ave";"Nobressart";"LX";"Gambia";"montes.nascetur@aliquetdiam.org"
"A7F52D9F-4520-0C2B-7359-A2937CBC9301";"VULPUTATE";"INSTITUTE";"INC";"342-4242";"670-1381 Pharetra. Avenue";"Tarnów";"Ma?opolskie";"Lithuania";"cursus.purus@nisi.net"
"F4809484-6A17-29CD-BF16-16BD404D74AF";"AMET";"CORPORATION";"CO";"325-0080";"P.O. Box 407, 4574 Massa. Rd.";"Granada";"Andalucía";"Turkmenistan";"enim.Nunc.ut@Curabitur.org"
"86BC65C2-23BB-7F44-B594-B69C8D1F1F10";"GRAVIDA MOLESTIE";"INC.";"INC";"596-5865";"652-4144 Imperdiet Rd.";"Houston";"British Columbia";"Cuba";"et.commodo.at@ut.org"
"B447E774-C993-37E4-DA38-1FD22D8F6593";"AUGUE SED MOLESTIE";"PC";"";"938-5354";"Ap #566-8992 Lobortis Ave";"Pickering";"ON";"Greece";"morbi@eratVivamus.co.uk"
"20AC118C-6816-8C19-B806-612709661093";"PROIN VEL NISL";"INCORPORATED";"INC";"1-280-892-9873";"Ap #790-6310 Nec Street";"Wanganui";"NI";"Sweden";"arcu.Vestibulum@enim.ca"
"480576E9-729D-B565-4027-ACC4978ECC96";"NULLAM VITAE";"INCORPORATED";"INC";"(680) 911-9858";"843-7261 Nulla St.";"Vienna";"Vienna";"Faroe Islands";"arcu@ipsumdolorsit.co.uk"
"A0FF9C8F-092F-3B47-19E2-EB669234C11E";"VEHICULA ALIQUET";"LTD";"LLC";"1-128-475-9178";"120-6429 Sagittis Rd.";"Orange";"New South Wales";"Slovakia";"morbi.tristique.senectus@tortorIntegeraliquam.edu"
"D57CE080-77E2-B895-5D28-14C3F6E423F0";"CURABITUR";"LIMITED";"LLC";"536-8451";"615-101 Vehicula Road";"Bolzano Vicentino";"VEN";"Niue";"lectus.quis.massa@molestie.ca"
"A062A728-187A-0283-0EFE-423195162DC5";"LIGULA AENEAN GRAVIDA";"PC";"";"1-443-494-1336";"5580 Eu Rd.";"Gloucester";"ON";"Nauru";"ipsum.non@nonhendrerit.net"
"E60E7A91-C593-5D5C-FF5E-E858517BE05B";"TELLUS";"INC.";"INC";"1-403-724-4731";"269-9782 Augue. Rd.";"Vienna";"Vienna";"Ecuador";"ipsum.Suspendisse.non@semperrutrumFusce.net"
"EF8EB4FB-7FEB-E3FC-A48E-3A9C9FF2A91B";"SED ORCI";"INDUSTRIES";"INC";"1533411";"835-669 Erat Avenue";"Vienna";"Wie";"Guernsey";"risus.Nunc.ac@musProinvel.org"
"FD128861-0F83-BFA0-B958-EDE1A46C28E4";"FEUGIAT LOREM";"PC";"";"1-264-278-7183";"351-6205 Enim, St.";"Innisfail";"Alberta";"Brazil";"quis@ornaretortorat.edu"
"F61715BC-2344-F0AE-41C1-1F35005D6701";"EU ENIM";"INDUSTRIES";"INC";"1-848-579-9652";"Ap #179-9836 Ornare Rd.";"Chastre";"Waals-Brabant";"Uzbekistan";"erat.in.consectetuer@fermentum.edu"
"D40E386D-08C9-3773-91F6-132F3D5347A9";"INTEGER MOLLIS INTEGER";"CONSULTING";"";"309-2136";"9413 Sed, Rd.";"Buguma";"Rivers";"Ireland";"eget@ipsumdolorsit.net"
"CDDC2164-D196-63E8-BA46-A349C5AA9943";"ET";"INSTITUTE";"INC";"1-416-692-8705";"5644 Natoque Street";"Atlanta";"Georgia";"Costa Rica";"nulla@tellusidnunc.ca"
"B430A72E-BFF7-D2A0-6F15-AAF0160877F1";"RISUS AT FRINGILLA";"LIMITED";"LLC";"1-535-734-3077";"Ap #502-6332 Risus. Street";"Pointe-Claire";"QC";"Czech Republic";"amet.orci@Donecelementumlorem.co.uk"
"4765CBA4-3323-C59E-6256-7ED5FCA23A02";"AT";"INCORPORATED";"INC";"1-143-374-9911";"Ap #521-700 Fusce Street";"Lafayette";"LA";"Sierra Leone";"quis.accumsan@diamPellentesque.com"
"579F74E3-C995-807D-C4C8-63C2EB633FC2";"PRETIUM ET";"INC.";"INC";"1-789-909-7936";"263-5208 Neque. St.";"Soye";"Namen";"Maldives";"euismod.ac.fermentum@turpisnec.net"
"4E654391-6FC4-8604-4B5C-47DAB65F1B42";"MI ALIQUAM GRAVIDA";"LLC";"LLC";"(448) 184-5435";"Ap #871-3530 Donec Rd.";"?negöl";"Bursa";"Guernsey";"nulla.magna@Uttincidunt.net"
"1FE675D8-AA4E-5772-7949-A1DDC57B6894";"NULLA";"PC";"";"1-362-416-6725";"5655 In Road";"Olathe";"Kansas";"Australia";"amet.consectetuer.adipiscing@faucibusutnulla.ca"
"ABF41F94-8C50-212E-512D-606B1493289D";"IPSUM";"INC.";"INC";"1922259";"P.O. Box 510, 4063 Adipiscing Rd.";"Dreux";"CE";"Germany";"urna.suscipit.nonummy@eutempor.com"
"6885B822-0D01-0AF1-87F4-8FCA6ECBD697";"ALIQUAM AUCTOR";"LLC";"LLC";"318-0498";"P.O. Box 140, 4868 Velit. St.";"Blumenau";"Santa Catarina";"Comoros";"bibendum.sed.est@nuncullamcorpereu.edu"
"C2F34508-B01A-D147-326E-AF12AA55BD65";"MI ALIQUAM";"CORP.";"CO";"339-0512";"9365 Pellentesque Rd.";"Berlin";"BE";"Svalbard and Jan Mayen Islands";"Donec.tempor.est@maurisrhoncus.org"
"C19763F8-5C1F-34C3-8A11-5E75C51E5542";"INTEGER SEM ELIT";"CORPORATION";"CO";"214-6423";"Ap #548-905 Adipiscing, Av.";"Vienna";"Wie";"Monaco";"tempor.arcu.Vestibulum@Aenean.com"
"07C503AC-70F1-691C-7AF8-4E9DAD61B507";"MAECENAS MI";"LLC";"LLC";"1-462-387-2077";"Ap #990-1857 Aliquam Road";"Orhangazi";"Bursa";"Iceland";"in@Nunclaoreetlectus.net"
"237B814D-4177-6533-E88E-76662518B247";"ALIQUET";"FOUNDATION";"";"(483) 128-2211";"5947 Vestibulum Rd.";"Épinal";"LO";"Vanuatu";"tortor.Integer.aliquam@non.net"
"F058EE9C-73F1-FDBB-647C-682DE0EE9DB7";"DONEC LUCTUS";"LLP";"LLC";"516-0682";"9026 Aenean St.";"Tilburg";"N.";"Brazil";"facilisis.Suspendisse.commodo@malesuada.edu"
"A8FCC9DF-9572-6110-CDD7-D514D99043AC";"MASSA";"PC";"";"788-4301";"861-3105 Nisi Ave";"Lexington";"KY";"Montserrat";"mauris.Integer@lacusEtiambibendum.edu"
"21F99009-6483-98C4-7A2D-80818627F479";"DIS";"INDUSTRIES";"INC";"1-284-494-3450";"570-9942 Dolor Rd.";"Alacant";"CV";"Zimbabwe";"ante.Maecenas.mi@sitamet.co.uk"
"52D73D58-63EE-40EA-905E-A871D6491F05";"AT RISUS NUNC";"INSTITUTE";"INC";"206-6044";"P.O. Box 649, 3479 Neque. Road";"Valéncia";"Comunitat Valenciana";"Trinidad and Tobago";"luctus.sit@Integer.edu"
"97297CE0-D979-1EB8-D880-2BF7BC4C953C";"NULLAM FEUGIAT";"LIMITED";"LLC";"(898) 130-8897";"P.O. Box 696, 6292 Enim. Ave";"Montes Claros";"Minas Gerais";"New Caledonia";"massa.Suspendisse.eleifend@CuraePhasellus.co.uk"
"FE790712-1EC6-6B9B-17EC-82D5A3091E0C";"EU";"LTD";"LLC";"940-8188";"119-7052 Sed Rd.";"Katowice";"Sl?skie";"Grenada";"semper@malesuadavelvenenatis.ca"
"406B1D52-D86D-FDD1-E3EF-8E3B9311EAB7";"ID RISUS";"ASSOCIATES";"";"1-100-191-0396";"P.O. Box 793, 2717 Curabitur St.";"Nanton";"Alberta";"Afghanistan";"vestibulum.massa@magnis.com"
"E4F9DEA0-D208-A222-A17F-3A2F5557FECB";"ALIQUAM EU";"FOUNDATION";"";"879-2197";"621-5419 Non Rd.";"Hamburg";"Hamburg";"Canada";"non.enim.commodo@nislsem.com"
"8816DF4B-AD01-7CCA-ABEF-AA5B12150CA3";"VIVAMUS NISI MAURIS";"ASSOCIATES";"";"411-5038";"920-3877 Ante. Road";"Zierikzee";"Zeeland";"Mongolia";"aliquam.eros@vestibulummassarutrum.co.uk"
"A6FF6D66-78C0-965D-2C11-5B504B538923";"TURPIS EGESTAS ALIQUAM";"LTD";"LLC";"1-828-984-2545";"4890 Fringilla Rd.";"Anglet";"AQ";"Christmas Island";"magna@dolordapibusgravida.org"
"4807E283-9EFC-4492-5F1C-132A718BF2DC";"IN HENDRERIT CONSECTETUER";"CORP.";"CO";"945-2770";"465-1533 Orci Street";"Duque de Caxias";"RJ";"Maldives";"rutrum.urna@luctus.net"
"1DFE6AEF-8AEC-79F8-DC11-32C76E02A4F7";"CRAS EU";"LIMITED";"LLC";"(633) 123-0900";"5790 Pede, Street";"Ajax";"ON";"Chile";"morbi.tristique.senectus@diam.ca"
"09843BA9-8822-F5C7-88E2-5E34C167EE7C";"MAURIS";"INCORPORATED";"INC";"741-3586";"P.O. Box 985, 1427 Congue St.";"Wagga Wagga";"New South Wales";"Faroe Islands";"nibh.vulputate.mauris@diam.net"
"0EA92570-D815-D71F-CA8B-3B3A27FE7CEB";"DOLOR";"LLC";"LLC";"659-5088";"P.O. Box 674, 1181 Tortor, Av.";"Llangollen";"DE";"Mali";"Donec.nibh.Quisque@quispedeSuspendisse.com"
"70568786-2106-4A43-F684-3D44E6A664CF";"VESTIBULUM ACCUMSAN NEQUE";"ASSOCIATES";"";"653-8620";"P.O. Box 896, 2647 At Ave";"Grave";"Noord Brabant";"Grenada";"molestie@arcuVestibulumut.com"
"F7FA305E-D29D-3892-A2C9-29BE2609C47D";"ULLAMCORPER NISL ARCU";"PC";"";"(387) 124-7366";"887-619 Phasellus Av.";"Houston";"BC";"Holy See (Vatican City State)";"odio.Etiam@euduiCum.com"
"F9547D19-29FB-EB0F-C3DC-AFD9D2E31B7E";"FELIS PURUS";"INDUSTRIES";"INC";"488-2460";"426-862 Eleifend Street";"Lublin";"Lubelskie";"Guam";"Sed@arcuSedeu.edu"
"0ADCF3E4-DB64-A021-DEBF-C8EE36DBCCE8";"NUNC MAURIS MORBI";"INC.";"INC";"869-4976";"Ap #928-5115 Turpis Street";"Pi?a";"WP";"Djibouti";"pede.Praesent.eu@Quisque.edu"
"B7595A68-4A48-2A77-A6E0-1EC158800B4C";"PULVINAR ARCU ET";"CONSULTING";"";"840-4669";"7071 Ac Ave";"Burnaby";"British Columbia";"Bulgaria";"Nullam.suscipit@elit.net"
"8701BC13-D8A8-8A80-4EB1-178C6B8178D2";"NATOQUE";"LTD";"LLC";"1-244-202-4296";"2334 Leo. Rd.";"Romano d'Ezzelino";"Veneto";"Bouvet Island";"Cum@euismod.ca"
"BCF3700B-96EB-7D7D-261F-C8AC9584F220";"NON";"CORPORATION";"CO";"300-8047";"Ap #885-335 Lobortis. Av.";"Buckingham";"BK";"Malawi";"Duis.gravida.Praesent@NullamnislMaecenas.net"
"771C72F3-47FA-2F93-5A02-B8222B123798";"VESTIBULUM";"INC.";"INC";"1-850-612-9285";"P.O. Box 346, 8016 Nunc Street";"Paranaguá";"PR";"Macedonia";"non@nullaInteger.net"
"028BA225-9937-8E25-22FD-7C2063EF093E";"IPSUM NUNC ID";"LIMITED";"LLC";"986-6634";"Ap #430-7960 Ipsum Street";"Höchst";"Vorarlberg";"Mauritius";"feugiat@natoquepenatibuset.ca"
"9F73C3F9-F7E2-FC4B-9ABF-6083DAD30DD6";"PHASELLUS DOLOR ELIT";"LLC";"LLC";"(791) 482-6820";"P.O. Box 820, 9558 Purus. St.";"Sonnino";"LAZ";"New Caledonia";"commodo@pede.co.uk"
"0A10215A-8CF0-1090-8320-BA066D1B0419";"NULLAM VITAE DIAM";"LIMITED";"LLC";"363-5126";"980-7189 Suscipit Rd.";"Belfast";"U";"Cayman Islands";"odio.semper.cursus@diamSeddiam.ca"
"EC2064B0-43AD-2A26-D84F-AA38D859A9AA";"DAPIBUS";"INDUSTRIES";"INC";"(791) 570-3786";"3176 Augue. St.";"San Rafael";"A";"Palau";"mollis.Phasellus.libero@iaculis.edu"
"69541C4A-BAFD-6FA2-327A-86D2EC1C0CBB";"TORTOR";"CONSULTING";"";"457-9111";"P.O. Box 445, 6467 Pellentesque, St.";"Argenteuil";"Île-de-France";"South Sudan";"dictum.ultricies.ligula@aliquetliberoInteger.co.uk"
"8B87CE77-9A66-A692-7820-2485D6EA24CA";"IN";"LLP";"LLC";"380-1348";"8605 Morbi Avenue";"Knoxville";"Tennessee";"Viet Nam";"luctus.et.ultrices@sit.org"
"0E8A6868-B753-FD28-804A-B5356E1C3DA9";"NUNC";"CORP.";"CO";"1-522-543-7295";"911-4283 Morbi St.";"Thunder Bay";"Ontario";"Saudi Arabia";"at.egestas.a@consectetuercursus.org"
"E267108D-E692-DAAA-5FB0-1FCD7A023D75";"MOLLIS NON CURSUS";"INDUSTRIES";"INC";"688-9497";"Ap #385-7904 Ridiculus Ave";"Ranst";"AN";"Lithuania";"Curabitur.consequat@sapien.org"
"9218DA34-3CEB-F7C9-D8AE-E94085E8782F";"ULLAMCORPER EU";"LTD";"LLC";"333-8635";"327-4503 Proin Avenue";"Gorinchem";"Z.";"San Marino";"sit.amet.consectetuer@nislQuisquefringilla.net"
"A5FFE46E-EEE6-64D6-2D58-75F889B07A11";"AT FRINGILLA PURUS";"LIMITED";"LLC";"644-9216";"6468 Posuere, Rd.";"Cork";"M";"South Georgia and The South Sandwich Islands";"dapibus.quam.quis@Morbimetus.com"
"2DD6BE42-8622-A8DF-07BD-089DBB479534";"AC";"INCORPORATED";"INC";"927-2123";"717-6341 Convallis, Road";"Wyoming";"Wyoming";"Greece";"Morbi.metus.Vivamus@ac.edu"
"2F70E0FE-8E39-D3D3-EAA9-A667FBB8D0DE";"NUNC ID ENIM";"LTD";"LLC";"1-789-235-0188";"Ap #817-3050 Lacus. Rd.";"Murray Bridge";"SA";"Bahrain";"sit.amet@Nuncmauris.org"
"44EC00CD-5F7E-096F-0266-8FD9994B5F24";"FAMES AC";"LLC";"LLC";"(996) 106-3854";"725-8907 Non, St.";"Smoky Lake";"Alberta";"Ukraine";"in@aliquetlobortisnisi.ca"
"32E01702-D58D-4D08-F65D-85270816BE93";"MI";"ASSOCIATES";"";"1-460-920-8679";"Ap #783-6006 Dapibus Street";"Belfast";"U";"Barbados";"egestas.ligula.Nullam@mipedenonummy.edu"
"B0BF1CB9-1EBF-1D3F-FA8C-EFCCC52CB015";"DAPIBUS GRAVIDA";"INDUSTRIES";"INC";"1-603-492-8268";"2781 Tempor Avenue";"Lions Bay";"BC";"Central African Republic";"massa.lobortis.ultrices@fermentum.co.uk"
"776A9DB9-4004-688B-9359-5658D4C9CF7F";"NAM AC";"ASSOCIATES";"";"1664316";"4789 Donec Road";"Belfast";"U";"Singapore";"velit@interdumCurabitur.com"
"16C28022-DC50-9CB1-9427-EE4D64D97371";"ULTRICES POSUERE";"INCORPORATED";"INC";"881-8676";"Ap #921-5985 Est. St.";"Portsoy";"Banffshire";"United States Minor Outlying Islands";"a@Donecluctus.edu"
"25ADBD1B-9231-F6A2-7447-495775FD56B9";"QUISQUE NONUMMY";"LIMITED";"LLC";"644-4593";"137-6195 Aliquet Av.";"Grey County";"ON";"Djibouti";"elit.elit.fermentum@etnetus.com"
"022507A8-1525-6E53-9CDE-0949E57D680C";"SAPIEN AENEAN MASSA";"LLP";"LLC";"832-9892";"412-6335 Lacus. St.";"Istanbul";"Ist";"Kiribati";"Fusce.diam@turpisAliquam.net"
"7FE43449-19BF-6C8F-E103-CBA7BEBEF51E";"SEM SEMPER ERAT";"FOUNDATION";"";"225-5484";"Ap #901-3271 Orci Rd.";"Lewiston";"ME";"Christmas Island";"elit.Nulla@velitAliquam.co.uk"
"A486F1A5-AE88-1C31-33BE-BF0D67A14299";"LIBERO ET TRISTIQUE";"PC";"";"359-4889";"Ap #807-7547 Rutrum Av.";"Hawera";"NI";"French Guiana";"urna.Nunc.quis@ultrices.ca"
"36AE1C70-4192-0DE5-DA61-F508810C3FDD";"IN MAGNA PHASELLUS";"ASSOCIATES";"";"913-3633";"2053 Eu St.";"Kraków";"Ma?opolskie";"Côte D'Ivoire (Ivory Coast)";"eget.venenatis@Nulla.com"
"D7075EAA-A064-27BF-318F-84E5ED12EE32";"MORBI TRISTIQUE SENECTUS";"ASSOCIATES";"";"681-8854";"9827 Sit Road";"Kozhikode";"KL";"Thailand";"ridiculus@aliquetPhasellusfermentum.com"
"DB675773-5C0D-DEAD-4677-606F6239BC81";"SAPIEN NUNC PULVINAR";"INC.";"INC";"812-2434";"P.O. Box 106, 1470 A Avenue";"Santa Maria";"RS";"Angola";"blandit.enim.consequat@lacus.net"
"50022924-0BBC-6C8E-BF50-7BE00482E5E4";"IN TEMPUS EU";"INCORPORATED";"INC";"315-9556";"332-3533 Nec, Av.";"Alexandria";"Dunbartonshire";"Kiribati";"molestie.tellus@magnaUt.edu"
"5BDAF665-EAB9-3159-9082-99DEB291EE28";"SODALES AT VELIT";"COMPANY";"CO";"1-646-435-4960";"723 Augue, Avenue";"Bridgeport";"CT";"Hong Kong";"Suspendisse.dui@pharetraQuisque.net"
"9B7E45EF-74EE-2441-DC03-AB129F1A6318";"MONTES";"LLP";"LLC";"1-770-784-3498";"P.O. Box 632, 3389 Hendrerit Ave";"Worms";"RP";"Trinidad and Tobago";"nisi.nibh.lacinia@Donec.org"
"2AAF6F28-1403-EFB4-DCFF-A1AD0FA79364";"IMPERDIET ULLAMCORPER DUIS";"FOUNDATION";"";"(892) 162-4189";"825-8719 Natoque Avenue";"Aserrí";"San José";"Grenada";"blandit@Nullam.co.uk"
"A76E098A-AD98-7BDC-5D46-ED1E5B98C874";"CONVALLIS";"CONSULTING";"";"303-4720";"7809 Non Av.";"Gboko";"BE";"Cocos (Keeling) Islands";"fermentum.vel@Nunc.net"
"EED09728-2AE6-01AF-6450-E1A1E33C944C";"LIBERO";"INSTITUTE";"INC";"882-4188";"P.O. Box 804, 143 Dui. Rd.";"Nottingham";"Nottinghamshire";"Syria";"tellus.non@orciadipiscing.org"
"70305690-B19C-D4AB-203A-E4821D622F88";"ELIT ELIT";"COMPANY";"CO";"1-687-677-3065";"614-1497 Ante Rd.";"Soma";"Man";"Congo (Brazzaville)";"semper.pretium@aduiCras.ca"
"F167B7AA-6B94-5260-3E06-64A3A2FB0898";"AMET CONSECTETUER";"CONSULTING";"";"306-5589";"217-1880 Duis Ave";"Thames";"North Island";"Christmas Island";"mollis.Duis@eu.net"
"54FB454F-ED52-B637-C181-EFBCB5F196FD";"NETUS";"INCORPORATED";"INC";"1-676-610-8796";"P.O. Box 523, 8186 Massa. St.";"Luziânia";"GO";"Armenia";"erat@Donecporttitor.net"
"D2F41CE5-6287-40ED-5912-ED996FDD53AE";"NULLA";"CORPORATION";"CO";"1-338-430-0564";"Ap #725-4661 Urna Rd.";"Retie";"AN";"Chad";"orci@urnaVivamusmolestie.edu"
